"","first_last_court","first.name","last.name","first_last_court_eval.year","eval.year","court","pap","gender","asian","black","hispanic","white","judjis_score"
"1785","Edward Becker (3)","Edward","Becker","Edward Becker (3) 1997",1997,"Third Circuit",1,1,0,0,0,1,-0.166666666666667
"1798","Edward Becker (3)","Edward","Becker","Edward Becker (3) 2000",2000,"Third Circuit",1,1,0,0,0,1,0.222222222238095
"1808","Edward Becker (3)","Edward","Becker","Edward Becker (3) 2004",2004,"Third Circuit",1,1,0,0,0,1,-2.77555756156289e-17
"1820","Edward Becker (3)","Edward","Becker","Edward Becker (3) 2006",2006,"Third Circuit",1,1,0,0,0,1,-0.25
"1367","Robert Beezer (9)","Robert","Beezer","Robert Beezer (9) 1990",1990,"Ninth Circuit",1,1,0,0,0,1,0
"1382","Robert Beezer (9)","Robert","Beezer","Robert Beezer (9) 1994",1994,"Ninth Circuit",1,1,0,0,0,1,0.31746031747619
"1397","Robert Beezer (9)","Robert","Beezer","Robert Beezer (9) 1998",1998,"Ninth Circuit",1,1,0,0,0,1,0.244444444433333
"1411","Robert Beezer (9)","Robert","Beezer","Robert Beezer (9) 2001",2001,"Ninth Circuit",1,1,0,0,0,1,0.0555555555555556
"1426","Robert Beezer (9)","Robert","Beezer","Robert Beezer (9) 2005",2005,"Ninth Circuit",1,1,0,0,0,1,0.256944444458333
"1442","Robert Beezer (9)","Robert","Beezer","Robert Beezer (9) 2009",2009,"Ninth Circuit",1,1,0,0,0,1,0.22222222225
"161","Fortunato Benavides (5)","Fortunato","Benavides","Fortunato Benavides (5) 2000",2000,"Fifth Circuit",0,1,0,0,1,0,-0.357142857142857
"163","Fortunato Benavides (5)","Fortunato","Benavides","Fortunato Benavides (5) 2004",2004,"Fifth Circuit",0,1,0,0,1,0,-0.0476190476190476
"164","Fortunato Benavides (5)","Fortunato","Benavides","Fortunato Benavides (5) 2007",2007,"Fifth Circuit",0,1,0,0,1,0,-0.1875
"165","Fortunato Benavides (5)","Fortunato","Benavides","Fortunato Benavides (5) 2012",2012,"Fifth Circuit",0,1,0,0,1,0,0.131944444458333
"166","Fortunato Benavides (5)","Fortunato","Benavides","Fortunato Benavides (5) 2014",2014,"Fifth Circuit",0,1,0,0,1,0,-0.0266666666666667
"167","Fortunato Benavides (5)","Fortunato","Benavides","Fortunato Benavides (5) 2017",2017,"Fifth Circuit",0,1,0,0,1,0,-0.333333333333333
"1132","Marion Bennett (Fed)","Marion","Bennett","Marion Bennett (Fed) 1990",1990,"Federal Circuit",1,1,0,0,0,1,0.666666666666667
"1134","Marion Bennett (Fed)","Marion","Bennett","Marion Bennett (Fed) 1992",1992,"Federal Circuit",1,1,0,0,0,1,0.333333333333333
"1034","W Benton (8)","W","Benton","W Benton (8) 2008",2008,"Eighth Circuit",1,1,0,0,0,1,0.513888888888889
"1045","W Benton (8)","W","Benton","W Benton (8) 2012",2012,"Eighth Circuit",1,1,0,0,0,1,0.19047619047619
"1055","W Benton (8)","W","Benton","W Benton (8) 2016",2016,"Eighth Circuit",1,1,0,0,0,1,0.166666666666667
"314","Marsha Berzon (9)","Marsha","Berzon","Marsha Berzon (9) 2005",2005,"Ninth Circuit",0,0,0,0,0,1,-0.625
"320","Marsha Berzon (9)","Marsha","Berzon","Marsha Berzon (9) 2009",2009,"Ninth Circuit",0,0,0,0,0,1,-0.574074074055556
"325","Marsha Berzon (9)","Marsha","Berzon","Marsha Berzon (9) 2014",2014,"Ninth Circuit",0,0,0,0,0,1,-0.452380952380952
"330","Marsha Berzon (9)","Marsha","Berzon","Marsha Berzon (9) 2018",2018,"Ninth Circuit",0,0,0,0,0,1,-0.375
"1073","Stanley Birch, Jr. (11)","Stanley","Birch, Jr.","Stanley Birch, Jr. (11) 1993",1993,"Eleventh Circuit",1,1,0,0,0,1,0.166666666666667
"1082","Stanley Birch, Jr. (11)","Stanley","Birch, Jr.","Stanley Birch, Jr. (11) 1998",1998,"Eleventh Circuit",1,1,0,0,0,1,0.306666666666667
"1098","Stanley Birch, Jr. (11)","Stanley","Birch, Jr.","Stanley Birch, Jr. (11) 2004",2004,"Eleventh Circuit",1,1,0,0,0,1,0.138888888888889
"1106","Stanley Birch, Jr. (11)","Stanley","Birch, Jr.","Stanley Birch, Jr. (11) 2007",2007,"Eleventh Circuit",1,1,0,0,0,1,0.506944444458333
"243","Susan Black (11)","Susan","Black","Susan Black (11) 1998",1998,"Eleventh Circuit",0,0,0,0,0,1,0.740740740722222
