justice,justiceName,Name,Start,End,
15,WJohnson,William Johnson,1804-05-07,1834-08-04,https://api.oyez.org/sites/default/files/images/people/william_johnson/william_johnson.thumb.png
16,HBLivingston,Henry Brockholst Livingston,1807-01-20,1823-03-18,https://api.oyez.org/sites/default/files/images/people/brockholst_livingston/brockholst_livingston.thumb.png
17,TTodd,Thomas Todd,1807-05-04,1826-02-07,https://api.oyez.org/sites/default/files/images/people/thomas_todd/thomas_todd.thumb.png
18,GDuvall,Gabriel Duvall,1811-11-23,1835-01-14,https://api.oyez.org/sites/default/files/images/people/gabriel_duvall/gabriel_duvall.thumb.png
19,JStory,Joseph Story,1812-02-03,1845-09-10,https://api.oyez.org/sites/default/files/images/people/joseph_story/joseph_story.thumb.png
20,SThompson,Smith Thompson,1823-09-01,1843-12-18,https://api.oyez.org/sites/default/files/images/people/smith_thompson/smith_thompson.thumb.png
21,RTrimble,Robert Trimble,1826-06-16,1828-08-25,https://api.oyez.org/sites/default/files/images/people/robert_trimble/robert_trimble.thumb.png
22,JMcLean,John McLean,1830-01-11,1861-04-04,https://api.oyez.org/sites/default/files/images/people/john_mclean/john_mclean.thumb.png
23,HBaldwin,Henry Baldwin,1830-01-18,1844-04-21,https://api.oyez.org/sites/default/files/images/people/henry_baldwin/henry_baldwin.thumb.png
24,JMWayne,James M. Wayne,1835-01-14,1867-07-05,https://api.oyez.org/sites/default/files/images/people/james_m_wayne/james_m_wayne.thumb.png
25,RBTaney,Roger B. Taney,1836-03-28,1864-10-12,https://api.oyez.org/sites/default/files/images/people/roger_b_taney/roger_b_taney.thumb.png
26,PPBarbour,Philip P. Barbour,1836-05-12,1841-02-25,https://api.oyez.org/sites/default/files/images/people/philip_p_barbour/philip_p_barbour.thumb.png
27,JCatron,John Catron,1837-05-01,1865-05-30,https://api.oyez.org/sites/default/files/images/people/john_catron/john_catron.thumb.png
28,JMcKinley,John McKinley,1837-04-22,1852-07-19,https://api.oyez.org/sites/default/files/images/people/john_mckinley/john_mckinley.thumb.png
29,PVDaniel,Peter V. Daniel,1842-01-10,1860-05-31,https://api.oyez.org/sites/default/files/images/people/peter_v_daniel/peter_v_daniel.thumb.png
30,SNelson,Samuel Nelson,1845-02-27,1872-11-28,https://api.oyez.org/sites/default/files/images/people/samuel_nelson/samuel_nelson.thumb.png
31,LWoodbury,Levi Woodbury,1845-09-23,1851-09-04,https://api.oyez.org/sites/default/files/images/people/levi_woodbury/levi_woodbury.thumb.png
32,RCGrier,Robert C. Grier,1846-08-10,1870-01-31,https://api.oyez.org/sites/default/files/images/people/robert_c_grier/robert_c_grier.thumb.png
33,BRCurtis,Benjamin R. Curtis,1851-10-10,1857-09-30,https://api.oyez.org/sites/default/files/images/people/benjamin_r_curtis/benjamin_r_curtis.thumb.png
34,JACampbell,John A. Campbell,1853-04-11,1861-04-30,https://api.oyez.org/sites/default/files/images/people/john_a_campbell/john_a_campbell.thumb.png
35,NClifford,Nathan Clifford,1858-01-21,1881-07-25,https://api.oyez.org/sites/default/files/images/people/nathan_clifford/nathan_clifford.thumb.png
36,NHSwayne,Noah Swayne,1862-01-27,1881-01-24,https://api.oyez.org/sites/default/files/images/people/noah_swayne/noah_swayne.thumb.png
37,SFMiller,Samuel F. Miller,1862-07-21,1890-10-13,https://api.oyez.org/sites/default/files/images/people/samuel_f_miller/samuel_f_miller.thumb.png
